2018-10-10 10:11:16,676: |Mouse moved to |(584, 834)
2018-10-10 10:11:16,676: |Mouse moved to |(592, 831)
2018-10-10 10:11:16,692: |Mouse moved to |(600, 827)
2018-10-10 10:11:16,707: |Mouse moved to |(611, 819)
2018-10-10 10:11:16,707: |Mouse moved to |(618, 811)
2018-10-10 10:11:16,723: |Mouse moved to |(628, 799)
2018-10-10 10:11:16,738: |Mouse moved to |(635, 786)
2018-10-10 10:11:16,738: |Mouse moved to |(644, 770)
2018-10-10 10:11:16,754: |Mouse moved to |(655, 746)
2018-10-10 10:11:16,770: |Mouse moved to |(667, 727)
2018-10-10 10:11:16,770: |Mouse moved to |(679, 707)
2018-10-10 10:11:16,785: |Mouse moved to |(687, 696)
2018-10-10 10:11:16,801: |Mouse moved to |(694, 688)
2018-10-10 10:11:16,816: |Mouse moved to |(700, 683)
2018-10-10 10:11:16,816: |Mouse moved to |(703, 681)
2018-10-10 10:11:16,832: |Mouse moved to |(706, 681)
2018-10-10 10:11:16,848: |Mouse moved to |(706, 681)
2018-10-10 10:11:16,879: |Mouse moved to |(707, 681)
2018-10-10 10:11:16,894: |Mouse moved to |(708, 681)
2018-10-10 10:11:16,910: |Mouse moved to |(710, 684)
2018-10-10 10:11:16,910: |Mouse moved to |(712, 691)
2018-10-10 10:11:16,926: |Mouse moved to |(714, 700)
2018-10-10 10:11:16,941: |Mouse moved to |(715, 708)
2018-10-10 10:11:16,941: |Mouse moved to |(715, 715)
2018-10-10 10:11:16,957: |Mouse moved to |(715, 719)
2018-10-10 10:11:16,972: |Mouse moved to |(715, 722)
2018-10-10 10:11:16,972: |Mouse moved to |(715, 724)
2018-10-10 10:11:16,988: |Mouse moved to |(715, 725)
2018-10-10 10:11:17,004: |Mouse moved to |(715, 726)
2018-10-10 10:11:17,035: |Mouse moved to |(715, 726)
2018-10-10 10:11:17,035: |Mouse moved to |(715, 716)
2018-10-10 10:11:17,050: |Mouse moved to |(713, 694)
2018-10-10 10:11:17,066: |Mouse moved to |(709, 670)
2018-10-10 10:11:17,066: |Mouse moved to |(706, 646)
2018-10-10 10:11:17,082: |Mouse moved to |(703, 628)
2018-10-10 10:11:17,097: |Mouse moved to |(701, 614)
2018-10-10 10:11:17,097: |Mouse moved to |(699, 606)
2018-10-10 10:11:17,113: |Mouse moved to |(698, 599)
